,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Manually add conditional format to highlight ID if not included in master sample,,,,,,,,,,,,,,,,,,,,,,
,MASTER SAMPLE,,,,,,,,,,,,,,,CURRENT INVENTORY,,,,,,,,,,,,,,,,,,
,Name,Sample Size,Bag Value,,,,,,,,,,,,,"after doing the function, copy paste over to the M-O columns :)",,,,,,,,,,,,,,,,,,
,BAG OF ALCHEMICAL GOODS,2135,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,Count,Name,Sell,Buy,Profit,Gross Revenue,Rate,Value,,sample size,Paste results here and note sample size in the L column,,,,Get Inventory Here-->,,,,,,,,,,,,,,,,,,
,24276,117,Pile of Incandescent Dust,208,202,176.8,24336,0.05480093677,9.7,,100,24276,7,Pile of Incandescent Dust,,,,,,,,,,,,,,,,,,,,
,24299,120,Intricate Totem,71,68,60.35,8520,0.05620608899,3.4,,,24299,9,Intricate Totem,,,,,,,,,,,,,,,,,,,,
,24350,134,Large Claw,72,71,61.2,9648,0.06276346604,3.8,,,24350,6,Large Claw,,,,,,,,,,,,,,,,,,,,
,24304,5,Charged Core,78,50,66.3,390,0.002341920375,0.2,,,24304,1,Charged Core,,,,,,,,,,,,,,,,,,,,
,19748,278,Silk Scrap,17,14,14.45,4726,0.1302107728,1.9,,,19748,32,Silk Scrap,,,,,,,,,,,,,,,,,,,,
,24356,108,Large Fang,75,71,63.75,8100,0.05058548009,3.2,,,24356,8,Large Fang,,,,,,,,,,,,,,,,,,,,
,24288,116,Large Scale,70,69,59.5,8120,0.05433255269,3.2,,,24288,4,Large Scale,,,,,,,,,,,,,,,,,,,,
,24341,124,Large Bone,72,70,61.2,8928,0.05807962529,3.6,,,24341,9,Large Bone,,,,,,,,,,,,,,,,,,,,
,24283,24,Powerful Venom Sac,2382,1974,2024.7,57168,0.0112412178,22.8,,,24283,1,Powerful Venom Sac,,,,,,,,,,,,,,,,,,,,
,24282,132,Potent Venom Sac,72,71,61.2,9504,0.06182669789,3.8,,,24282,5,Potent Venom Sac,,,,,,,,,,,,,,,,,,,,
,24351,14,Vicious Claw,2403,2003,2042.55,33642,0.006557377049,13.4,,,24351,1,Vicious Claw,,,,,,,,,,,,,,,,,,,,
,24294,133,Vial of Potent Blood,72,67,61.2,9576,0.06229508197,3.8,,,24294,8,Vial of Potent Blood,,,,,,,,,,,,,,,,,,,,
,19729,486,Thick Leather Section,29,23,24.65,14094,0.2276346604,5.6,,,19729,17,Thick Leather Section,,,,,,,,,,,,,,,,,,,,
,24277,20,Pile of Crystalline Dust,1741,1561,1479.85,34820,0.009367681499,13.9,,,24277,2,Pile of Crystalline Dust,,,,,,,,,,,,,,,,,,,,
,19732,73,Hardened Leather Section,199,194,169.15,14527,0.03419203747,5.8,,,19732,3,Hardened Leather Section,,,,,,,,,,,,,,,,,,,,
,24295,21,Vial of Powerful Blood,2578,2230,2191.3,54138,0.009836065574,21.6,,,24295,1,Vial of Powerful Blood,,,,,,,,,,,,,,,,,,,,
,24357,17,Vicious Fang,1823,1533,1549.55,30991,0.007962529274,12.3,,,24357,2,Vicious Fang,,,,,,,,,,,,,,,,,,,,
,24300,19,Elaborate Totem,2494,2310,2119.9,47386,0.008899297424,18.9,,,24300,1,Elaborate Totem,,,,,,,,,,,,,,,,,,,,
,19745,53,Gossamer Scrap,127,123,107.95,6731,0.02482435597,2.7,,,19745,1,Gossamer Scrap,,,,,,,,,,,,,,,,,,,,
,24289,15,Armored Scale,2648,2367,2250.8,39720,0.007025761124,15.8,,,24289,1,Armored Scale,,,,,,,,,,,,,,,,,,,,
,24339,5,Corrupted Core,84,79,71.4,420,0.002341920375,0.2,,250,24283,5,Powerful Venom Sac,,,,,,,,,,,,,,,,,,,,
,24309,8,Onyx Core,50,43,42.5,400,0.0037470726,0.2,,,24276,10,Pile of Incandescent Dust,,,,,,,,,,,,,,,,,,,,
,24329,8,Crystal Core,50,43,42.5,400,0.0037470726,0.2,,,19748,92,Silk Scrap,,,,,,,,,,,,,,,,,,,,
,24358,24,Ancient Bone,2600,2261,2210,62400,0.0112412178,24.8,,,24357,3,Vicious Fang,,,,,,,,,,,,,,,,,,,,
,24334,4,Pile of Vile Essence,65,64,55.25,260,0.0018735363,0.1,,,19729,65,Thick Leather Section,,,,,,,,,,,,,,,,,,,,
,24314,3,Molten Core,50,44,42.5,150,0.001405152225,0.1,,,24339,2,Corrupted Core,,,,,,,,,,,,,,,,,,,,
