,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Manually adjust conditional format range in M:M to highlight ID after copy pasting,,,,,,,,,,,,,,,,,,,,,,
,MASTER SAMPLE,,,,,,,,,,,,,,,,,,CURRENT INVENTORY,,,,,,,,,,,,,,,,,,
,Name,Sample Size,Bag Value,,,,,,,,,,,,,,,,"after doing the function, copy paste over to the M-O columns :)",,,,,,,,,,,,,,,,,,
,Bag of Stolen Goods,3800,248.0,copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,Count,Name,Sell,Buy,Profit,Gross Revenue,Rate,Refineable?,Value Change if Refined,Value,Max Value,,sample size,Paste results here and note sample size in the L column,,,,Get Inventory Here-->,ID,Count,Name,,,,,,,,,,,,,,,
,19748,1518,Silk Scrap,17,16,14.45,25806,0.3994736842,TRUE,0,5.8,5.8,,150,24341,9,Large Bone,,,38228,8,Giver's Masquerade Mask,,,,,,,,,,,,,,,
,24350,225,Large Claw,72,71,61.2,16200,0.05921052632,FALSE,0,3.6,3.6,,,24294,6,Vial of Potent Blood,,,48587,1,Rabid Draconic Legs,,,,,,,,,,,,,,,
,19729,1033,Thick Leather Section,28,23,23.8,28924,0.2718421053,TRUE,-2.2,6.5,6.5,,,24282,11,Potent Venom Sac,,,,,,,,,,,,,,,,,,,,
,24288,236,Large Scale,74,69,62.9,17464,0.06210526316,FALSE,0,3.9,3.9,,,19748,60,Silk Scrap,,,,,,,,,,,,,,,,,,,,
,24295,50,Vial of Powerful Blood,2580,2229,2193,129000,0.01315789474,FALSE,0,28.9,28.9,,,24350,13,Large Claw,,,,,,,,,,,,,,,,,,,,
,24359,100,Slab of Red Meat,256,254,217.6,25600,0.02631578947,FALSE,0,5.7,5.7,,,19732,2,Hardened Leather Section,,,,,,,,,,,,,,,,,,,,
,24356,224,Large Fang,75,71,63.75,16800,0.05894736842,FALSE,0,3.8,3.8,,,24276,11,Pile of Incandescent Dust,,,,,,,,,,,,,,,,,,,,
