,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Manually adjust conditional format range in M:M to highlight ID after copy pasting,,,,,,,,,,,,,,,,,,,,,,
,MASTER SAMPLE,,,,,,,,,,,,,,,,,,CURRENT INVENTORY,,,,,,,,,,,,,,,,,,
,Name,Sample Size,Bag Value,,,,,,,,,,,,,,,,"after doing the function, copy paste over to the M-O columns :)",,,,,,,,,,,,,,,,,,
,"""BAG NAME""",430,182.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,Count,Name,Sell,Buy,Profit,Gross Revenue,Rate,Refineable?,Value Change if Refined,Value,Max Value,,sample size,Paste results here and note sample size in the L column,,,,Get Inventory Here-->,ID,Count,Name,,,,,,,,,,,,,,,
,24518,1,Crest of the Magi,1300,1291,1105,1300,0.002325581395,FALSE,0,2.6,2.6,,430,24518,1,Crest of the Magi,,,38228,8,Giver's Masquerade Mask,,,,,,,,,,,,,,,
,24276,39,Pile of Incandescent Dust,208,202,176.8,8112,0.09069767442,FALSE,0,16.0,16.0,,,24276,39,Pile of Incandescent Dust,,,48587,1,Rabid Draconic Legs,,,,,,,,,,,,,,,
,24299,18,Intricate Totem,71,68,60.35,1278,0.04186046512,FALSE,0,2.5,2.5,,,24299,18,Intricate Totem,,,,,,,,,,,,,,,,,,,,
,19748,196,Silk Scrap,17,16,14.45,3332,0.4558139535,TRUE,0,6.6,6.6,,,19748,196,Silk Scrap,,,,,,,,,,,,,,,,,,,,
,24341,21,Large Bone,72,70,61.2,1512,0.0488372093,FALSE,0,3.0,3.0,,,24341,21,Large Bone,,,,,,,,,,,,,,,,,,,,
,19729,84,Thick Leather Section,28,23,23.8,2352,0.1953488372,TRUE,-2.2,4.6,4.6,,,19729,84,Thick Leather Section,,,,,,,,,,,,,,,,,,,,
,24277,3,Pile of Crystalline Dust,1740,1560,1479,5220,0.006976744186,FALSE,0,10.3,10.3,,,24277,3,Pile of Crystalline Dust,,,,,,,,,,,,,,,,,,,,
,24350,33,Large Claw,72,71,61.2,2376,0.07674418605,FALSE,0,4.7,4.7,,,24350,33,Large Claw,,,,,,,,,,,,,,,,,,,,
,19745,12,Gossamer Scrap,127,123,107.95,1524,0.02790697674,TRUE,-22,3.0,3.0,,,19745,12,Gossamer Scrap,,,,,,,,,,,,,,,,,,,,
,24356,28,Large Fang,75,71,63.75,2100,0.06511627907,FALSE,0,4.2,4.2,,,24356,28,Large Fang,,,,,,,,,,,,,,,,,,,,
,24294,32,Vial of Potent Blood,72,68,61.2,2304,0.07441860465,FALSE,0,4.6,4.6,,,24294,32,Vial of Potent Blood,,,,,,,,,,,,,,,,,,,,
,24357,7,Vicious Fang,1798,1533,1528.3,12586,0.01627906977,FALSE,0,24.9,24.9,,,24357,7,Vicious Fang,,,,,,,,,,,,,,,,,,,,
,24282,24,Potent Venom Sac,72,69,61.2,1728,0.05581395349,FALSE,0,3.4,3.4,,,24282,24,Potent Venom Sac,,,,,,,,,,,,,,,,,,,,
,24351,2,Vicious Claw,2401,2001,2040.85,4802,0.004651162791,FALSE,0,9.5,9.5,,,24351,2,Vicious Claw,,,,,,,,,,,,,,,,,,,,
,24288,29,Large Scale,74,69,62.9,2146,0.06744186047,FALSE,0,4.2,4.2,,,24288,29,Large Scale,,,,,,,,,,,,,,,,,,,,
,24283,1,Powerful Venom Sac,2380,1974,2023,2380,0.002325581395,FALSE,0,4.7,4.7,,,24283,1,Powerful Venom Sac,,,,,,,,,,,,,,,,,,,,
,24475,1,Sapphire Crystal,145,144,123.25,145,0.002325581395,FALSE,0,0.3,0.3,,,24475,1,Sapphire Crystal,,,,,,,,,,,,,,,,,,,,
