,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Manually adjust conditional format range in M:M to highlight ID after copy pasting,,,,,,,,,,,,,,,,,,,,,,
,MASTER SAMPLE,,,,,,,,,,,,,,,CURRENT INVENTORY,,,,,,,,,,,,,,,,,,
,Name,Sample Size,Bag Value,,,,,,,,,,,,,"after doing the function, copy paste over to the M-O columns :)",,,,,,,,,,,,,,,,,,
,HEAVY ICY BAG,150,195.6,copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,Count,Name,Sell,Buy,Profit,Gross Revenue,Rate,Value,,sample size,Paste results here and note sample size in the L column,,,,Get Inventory Here-->,#ERROR!,,,,,,,,,,,,,,,,,
,24294,36,Vial of Potent Blood,72,67,61.2,2592,0.24,14.7,,150,24294,36,Vial of Potent Blood,,150,,,,,,,,,,,,,,,,,,
,24299,34,Intricate Totem,71,68,60.35,2414,0.2266666667,13.7,,,24299,34,Intricate Totem,,,,,,,,,,,,,,,,,,,,
,24359,7,Slab of Red Meat,256,254,217.6,1792,0.04666666667,10.2,,,24359,7,Slab of Red Meat,,,,,,,,,,,,,,,,,,,,
,19732,6,Hardened Leather Section,199,194,169.15,1194,0.04,6.8,,,19732,6,Hardened Leather Section,,,,,,,,,,,,,,,,,,,,
,19729,35,Thick Leather Section,29,23,24.65,1015,0.2333333333,5.8,,,19729,35,Thick Leather Section,,,,,,,,,,,,,,,,,,,,
,19745,5,Gossamer Scrap,127,123,107.95,635,0.03333333333,3.6,,,19745,5,Gossamer Scrap,,,,,,,,,,,,,,,,,,,,
,24300,1,Elaborate Totem,2494,2310,2119.9,2494,0.006666666667,14.1,,,24300,1,Elaborate Totem,,,,,,,,,,,,,,,,,,,,
,24295,7,Vial of Powerful Blood,2578,2230,2191.3,18046,0.04666666667,102.3,,,24295,7,Vial of Powerful Blood,,,,,,,,,,,,,,,,,,,,
,24360,4,Slab of Poultry Meat,1042,912,885.7,4168,0.02666666667,23.6,,,24360,4,Slab of Poultry Meat,,,,,,,,,,,,,,,,,,,,
,24339,2,Corrupted Core,84,79,71.4,168,0.01333333333,1.0,,,24339,2,Corrupted Core,,,,,,,,,,,,,,,,,,,,
,,0,#N/A, , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,#N/A, , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,#N/A, , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,#N/A, , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,#N/A, , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,#N/A, , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,#N/A, , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,#N/A, , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,#N/A, , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,#N/A, , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,#N/A, , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,#N/A, , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,#N/A, , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,#N/A, , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,#N/A, , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,#N/A, , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,#N/A, , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,#N/A, , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
