,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Manually adjust conditional format range in M:M to highlight ID after copy pasting,,,,,,,,,,,,,,,,,,,,,,
,MASTER SAMPLE,,,,,,,,,,,,,,,CURRENT INVENTORY,,,,,,,,,,,,,,,,,,
,Name,Sample Size,Bag Value,,,,,,,,,,,,,"after doing the function, copy paste over to the M-O columns :)",,,,,,,,,,,,,,,,,,
,HEAVY LOOT BAG,150,199.8,copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,Count,Name,Sell,Buy,Profit,Gross Revenue,Rate,Value,,sample size,Paste results here and note sample size in the L column,,,,Get Inventory Here-->,,,,,,,,,,,,,,,,,,
,24350,4,Large Claw,72,71,61.2,288,0.02666666667,1.6,,150,24350,4,Large Claw,,,,,,,,,,,,,,,,,,,,
,19732,10,Hardened Leather Section,199,194,169.15,1990,0.06666666667,11.3,,,19732,10,Hardened Leather Section,,,,,,,,,,,,,,,,,,,,
,24282,4,Potent Venom Sac,72,71,61.2,288,0.02666666667,1.6,,,24282,4,Potent Venom Sac,,,,,,,,,,,,,,,,,,,,
,19729,35,Thick Leather Section,29,23,24.65,1015,0.2333333333,5.8,,,19729,35,Thick Leather Section,,,,,,,,,,,,,,,,,,,,
,19748,18,Silk Scrap,17,14,14.45,306,0.12,1.7,,,19748,18,Silk Scrap,,,,,,,,,,,,,,,,,,,,
,19700,77,Mithril Ore,44,43,37.4,3388,0.5133333333,19.2,,,19700,77,Mithril Ore,,,,,,,,,,,,,,,,,,,,
,24283,2,Powerful Venom Sac,2382,1974,2024.7,4764,0.01333333333,27.0,,,24283,2,Powerful Venom Sac,,,,,,,,,,,,,,,,,,,,
,24276,3,Pile of Incandescent Dust,208,202,176.8,624,0.02,3.5,,,24276,3,Pile of Incandescent Dust,,,,,,,,,,,,,,,,,,,,
,24341,11,Large Bone,72,70,61.2,792,0.07333333333,4.5,,,24341,11,Large Bone,,,,,,,,,,,,,,,,,,,,
,24289,1,Armored Scale,2648,2367,2250.8,2648,0.006666666667,15.0,,,24289,1,Armored Scale,,,,,,,,,,,,,,,,,,,,
,24357,2,Vicious Fang,1823,1533,1549.55,3646,0.01333333333,20.7,,,24357,2,Vicious Fang,,,,,,,,,,,,,,,,,,,,
,24356,8,Large Fang,75,71,63.75,600,0.05333333333,3.4,,,24356,8,Large Fang,,,,,,,,,,,,,,,,,,,,
,24351,1,Vicious Claw,2403,2003,2042.55,2403,0.006666666667,13.6,,,24351,1,Vicious Claw,,,,,,,,,,,,,,,,,,,,
,19745,7,Gossamer Scrap,127,123,107.95,889,0.04666666667,5.0,,,19745,7,Gossamer Scrap,,,,,,,,,,,,,,,,,,,,
,24299,11,Intricate Totem,71,68,60.35,781,0.07333333333,4.4,,,24299,11,Intricate Totem,,,,,,,,,,,,,,,,,,,,
,24300,1,Elaborate Totem,2494,2310,2119.9,2494,0.006666666667,14.1,,,24300,1,Elaborate Totem,,,,,,,,,,,,,,,,,,,,
,24294,3,Vial of Potent Blood,72,67,61.2,216,0.02,1.2,,,24294,3,Vial of Potent Blood,,,,,,,,,,,,,,,,,,,,
,24295,2,Vial of Powerful Blood,2578,2230,2191.3,5156,0.01333333333,29.2,,,24295,2,Vial of Powerful Blood,,,,,,,,,,,,,,,,,,,,
,24324,1,Destroyer Core,169,163,143.65,169,0.006666666667,1.0,,,24324,1,Destroyer Core,,,,,,,,,,,,,,,,,,,,
,24288,3,Large Scale,70,69,59.5,210,0.02,1.2,,,24288,3,Large Scale,,,,,,,,,,,,,,,,,,,,
,24358,1,Ancient Bone,2600,2261,2210,2600,0.006666666667,14.7,,,24358,1,Ancient Bone,,,,,,,,,,,,,,,,,,,,
