,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Manually adjust conditional format range in M:M to highlight ID after copy pasting,,,,,,,,,,,,,,,,,,,,,,
,MASTER SAMPLE,,,,,,,,,,,,,,,,,,CURRENT INVENTORY,,,,,,,,,,,,,,,,,,
,Name,Sample Size,Bag Value,,,,,,,,,,,,,,,,"after doing the function, copy paste over to the M-O columns :)",,,,,,,,,,,,,,,,,,
,Heavy Miner's Bag,500,207.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,Count,Name,Sell,Buy,Profit,Gross Revenue,Rate,Refineable?,Value Change if Refined,Value,Max Value,,sample size,Paste results here and note sample size in the L column,,,,Get Inventory Here-->,ID,Count,Name,,,,,,,,,,,,,,,
,24522,1,Opal Orb,1399,1274,1189.15,1399,0.002,FALSE,0,2.4,2.4,,500,24522,1,Opal Orb,,,38228,8,Giver's Masquerade Mask,,,,,,,,,,,,,,,
,24299,44,Intricate Totem,71,68,60.35,3124,0.088,FALSE,0,5.3,5.3,,,24299,44,Intricate Totem,,,48587,1,Rabid Draconic Legs,,,,,,,,,,,,,,,
,19729,143,Thick Leather Section,28,23,23.8,4004,0.286,TRUE,-2.2,6.8,6.8,,,19729,143,Thick Leather Section,,,,,,,,,,,,,,,,,,,,
,24351,6,Vicious Claw,2401,2001,2040.85,14406,0.012,FALSE,0,24.5,24.5,,,24351,6,Vicious Claw,,,,,,,,,,,,,,,,,,,,
,19748,165,Silk Scrap,17,16,14.45,2805,0.33,TRUE,0,4.8,4.8,,,19748,165,Silk Scrap,,,,,,,,,,,,,,,,,,,,
,19732,16,Hardened Leather Section,199,194,169.15,3184,0.032,TRUE,45.3,5.4,6.6,,,19732,16,Hardened Leather Section,,,,,,,,,,,,,,,,,,,,
,24475,6,Sapphire Crystal,145,144,123.25,870,0.012,FALSE,0,1.5,1.5,,,24475,6,Sapphire Crystal,,,,,,,,,,,,,,,,,,,,
,19745,12,Gossamer Scrap,127,123,107.95,1524,0.024,TRUE,-22,2.6,2.6,,,19745,12,Gossamer Scrap,,,,,,,,,,,,,,,,,,,,
,24294,33,Vial of Potent Blood,72,68,61.2,2376,0.066,FALSE,0,4.0,4.0,,,24294,33,Vial of Potent Blood,,,,,,,,,,,,,,,,,,,,
,24276,49,Pile of Incandescent Dust,208,202,176.8,10192,0.098,FALSE,0,17.3,17.3,,,24276,49,Pile of Incandescent Dust,,,,,,,,,,,,,,,,,,,,
,24511,8,Chrysocola Crystal,139,138,118.15,1112,0.016,FALSE,0,1.9,1.9,,,24511,8,Chrysocola Crystal,,,,,,,,,,,,,,,,,,,,
,24350,36,Large Claw,72,71,61.2,2592,0.072,FALSE,0,4.4,4.4,,,24350,36,Large Claw,,,,,,,,,,,,,,,,,,,,
,24341,41,Large Bone,72,70,61.2,2952,0.082,FALSE,0,5.0,5.0,,,24341,41,Large Bone,,,,,,,,,,,,,,,,,,,,
,24300,4,Elaborate Totem,2494,2310,2119.9,9976,0.008,FALSE,0,17.0,17.0,,,24300,4,Elaborate Totem,,,,,,,,,,,,,,,,,,,,
,24277,1,Pile of Crystalline Dust,1740,1560,1479,1740,0.002,FALSE,0,3.0,3.0,,,24277,1,Pile of Crystalline Dust,,,,,,,,,,,,,,,,,,,,
,24521,7,Opal Crystal,150,139,127.5,1050,0.014,FALSE,0,1.8,1.8,,,24521,7,Opal Crystal,,,,,,,,,,,,,,,,,,,,
,24358,7,Ancient Bone,2620,2261,2227,18340,0.014,FALSE,0,31.2,31.2,,,24358,7,Ancient Bone,,,,,,,,,,,,,,,,,,,,
