,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Manually adjust conditional format range in M:M to highlight ID after copy pasting,,,,,,,,,,,,,,,,,,,,,,
,MASTER SAMPLE,,,,,,,,,,,,,,,CURRENT INVENTORY,,,,,,,,,,,,,,,,,,
,Name,Sample Size,Bag Value,,,,,,,,,,,,,"after doing the function, copy paste over to the M-O columns :)",,,,,,,,,,,,,,,,,,
,HEAVY SUPPLY BAG,1081,225.0,copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,Count,Name,Sell,Buy,Profit,Gross Revenue,Rate,Value,,sample size,Paste results here and note sample size in the L column,,,,Get Inventory Here-->,#ERROR!,,,,490,,,,,,,,,,,,,
,19748,535,Silk Scrap,17,14,14.45,9095,0.4949121184,7.2,,152,19748,54,Silk Scrap,,,,,,,,,,,,,,,,,,,,
,24299,100,Intricate Totem,71,68,60.35,7100,0.09250693802,5.6,,,24299,15,Intricate Totem,,,,,,,,,,,,,,,,,,,,
,24294,115,Vial of Potent Blood,72,67,61.2,8280,0.1063829787,6.5,,,24294,19,Vial of Potent Blood,,,,,,,,,,,,,,,,,,,,
,19729,316,Thick Leather Section,29,23,24.65,9164,0.2923219241,7.2,,,19729,55,Thick Leather Section,,,,,,,,,,,,,,,,,,,,
,24358,22,Ancient Bone,2600,2261,2210,57200,0.02035152636,45.0,,,24358,5,Ancient Bone,,,,,,,,,,,,,,,,,,,,
,24341,101,Large Bone,72,70,61.2,7272,0.0934320074,5.7,,,24341,10,Large Bone,,,,,,,,,,,,,,,,,,,,
,24350,120,Large Claw,72,71,61.2,8640,0.1110083256,6.8,,,24350,20,Large Claw,,,,,,,,,,,,,,,,,,,,
,24309,22,Onyx Core,50,43,42.5,1100,0.02035152636,0.9,,,24309,3,Onyx Core,,,,,,,,,,,,,,,,,,,,
,24351,16,Vicious Claw,2403,2003,2042.55,38448,0.01480111008,30.2,,,24351,3,Vicious Claw,,,,,,,,,,,,,,,,,,,,
,24295,26,Vial of Powerful Blood,2578,2230,2191.3,67028,0.02405180389,52.7,,,24295,7,Vial of Powerful Blood,,,,,,,,,,,,,,,,,,,,
