,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Manually add conditional format to highlight ID if not included in master sample,,,,,,,,,,,,,,,,,,,,,,
,MASTER SAMPLE,,,,,,,,,,,,,,,CURRENT INVENTORY,,,,,,,,,,,,,,,,,,
,Name,Sample Size,Bag Value,,,,,,,,,,,,,"after doing the function, copy paste over to the M-O columns :)",,,,,,,,,,,,,,,,,,
,MINER'S SACK,345,376.6,copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,Count,Name,Sell,Buy,Profit,Gross Revenue,Rate,Value,,sample size,Paste results here and note sample size in the L column,,,,Get Inventory Here-->,,,,,,,,,,,,,,,,,,
,24274,35,Pile of Radiant Dust,856,808,727.6,29960,0.1014492754,73.8,,100,24274,9,Pile of Radiant Dust,,,,,,,,,,,,,,,,,,,,
,19743,124,Linen Scrap,37,30,31.45,4588,0.3594202899,11.3,,,19743,40,Linen Scrap,,,,,,,,,,,,,,,,,,,,
,24292,34,Vial of Blood,376,300,319.6,12784,0.09855072464,31.5,,,24292,12,Vial of Blood,,,,,,,,,,,,,,,,,,,,
,19731,96,Rugged Leather Section,137,104,116.45,13152,0.2782608696,32.4,,,19731,20,Rugged Leather Section,,,,,,,,,,,,,,,,,,,,
,24344,23,Bone,1384,1310,1176.4,31832,0.06666666667,78.4,,,24344,7,Bone,,,,,,,,,,,,,,,,,,,,
,24504,6,Peridot Lump,80,37,68,480,0.01739130435,1.2,,,24504,2,Peridot Lump,,,,,,,,,,,,,,,,,,,,
,24275,15,Pile of Luminous Dust,896,827,761.6,13440,0.04347826087,33.1,,,24275,6,Pile of Luminous Dust,,,,,,,,,,,,,,,,,,,,
,24345,6,Heavy Bone,1754,1514,1490.9,10524,0.01739130435,25.9,,,24345,2,Heavy Bone,,,,,,,,,,,,,,,,,,,,
,24298,18,Totem,330,275,280.5,5940,0.05217391304,14.6,,,24298,7,Totem,,,,,,,,,,,,,,,,,,,,
,24322,10,Destroyer Fragment,162,131,137.7,1620,0.02898550725,4.0,,,24322,2,Destroyer Fragment,,,,,,,,,,,,,,,,,,,,
,24349,3,Sharp Claw,477,367,405.45,1431,0.008695652174,3.5,,,24349,1,Sharp Claw,,,,,,,,,,,,,,,,,,,,
,24323,2,Destroyer Shard,232,156,197.2,464,0.005797101449,1.1,,,24323,1,Destroyer Shard,,,,,,,,,,,,,,,,,,,,
,24348,25,Claw,459,419,390.15,11475,0.07246376812,28.3,,,24348,8,Claw,,,,,,,,,,,,,,,,,,,,
,24873,4,Ruby Shard,53,0,45.05,212,0.0115942029,0.5,,,24873,1,Ruby Shard,,,,,,,,,,,,,,,,,,,,
,24506,5,Topaz Lump,79,46,67.15,395,0.01449275362,1.0,,,24506,2,Topaz Lump,,,,,,,,,,,,,,,,,,,,
,24503,2,Sunstone Lump,2523,1763,2144.55,5046,0.005797101449,12.4,,,24503,2,Sunstone Lump,,,,,,,,,,,,,,,,,,,,
,24293,8,Vial of Thick Blood,420,391,357,3360,0.0231884058,8.3,,,24293,3,Vial of Thick Blood,,,,,,,,,,,,,,,,,,,,
,24772,3,Gold Doubloon,1375,1297,1168.75,4125,0.008695652174,10.2,,,24772,1,Gold Doubloon,,,,,,,,,,,,,,,,,,,,
,24526,4,Spinel Lump,80,44,68,320,0.0115942029,0.8,,,24526,1,Spinel Lump,,,,,,,,,,,,,,,,,,,,
,24507,4,Lapis Lump,88,47,74.8,352,0.0115942029,0.9,,245,24344,16,Bone,,,,,,,,,,,,,,,,,,,,
,24876,1,Sapphire Shard,53,0,45.05,53,0.002898550725,0.1,,,24507,4,Lapis Lump,,,,,,,,,,,,,,,,,,,,
