,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Manually adjust conditional format range in M:M to highlight ID after copy pasting,,,,,,,,,,,,,,,,,,,,,,
,MASTER SAMPLE,,,,,,,,,,,,,,,,,,CURRENT INVENTORY,,,,,,,,,,,,,,,,,,
,Name,Sample Size,Bag Value,,,,,,,,,,,,,,,,"after doing the function, copy paste over to the M-O columns :)",,,,,,,,,,,,,,,,,,
,"""BAG NAME""",2680,484.4,copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,Count,Name,Sell,Buy,Profit,Gross Revenue,Rate,Refineable?,Value Change if Refined,Value,Max Value,,sample size,Paste results here and note sample size in the L column,,,,Get Inventory Here-->,ID,Count,Name,,,,,,,,,,,,,,,
,12247,12,Bay Leaf,31,30,26.35,372,0.00447761194,FALSE,0,0.1,0.1,,156,12247,2,Bay Leaf,,,19700,53,Mithril Ore,,,,,,,,,,,,,,,
,24359,53,Slab of Red Meat,256,254,217.6,13568,0.0197761194,FALSE,0,4.3,4.3,,,24359,2,Slab of Red Meat,,,19745,3,Gossamer Scrap,,,,,,,,,,,,,,,
,12138,943,Stick of Butter,344,303,292.4,324392,0.3518656716,FALSE,0,102.9,102.9,,,12138,54,Stick of Butter,,,19722,199,Elder Wood Log,,,,,,,,,,,,,,,
,12351,80,Orange,118,97,100.3,9440,0.02985074627,FALSE,0,3.0,3.0,,,12351,4,Orange,,,19729,49,Thick Leather Section,,,,,,,,,,,,,,,
,19741,722,Cotton Scrap,9,8,7.65,6498,0.2694029851,TRUE,-2.5,2.1,2.1,,,19741,40,Cotton Scrap,,,19748,128,Silk Scrap,,,,,,,,,,,,,,,
,24348,142,Claw,459,419,390.15,65178,0.05298507463,FALSE,0,20.7,20.7,,,24348,9,Claw,,,19725,7,Ancient Wood Log,,,,,,,,,,,,,,,
,24274,119,Pile of Radiant Dust,856,808,727.6,101864,0.04440298507,FALSE,0,32.3,32.3,,,24274,4,Pile of Radiant Dust,,,19701,10,Orichalcum Ore,,,,,,,,,,,,,,,
