,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Manually add conditional format to highlight ID if not included in master sample,,,,,,,,,,,,,,,,,,,,,,
,MASTER SAMPLE,,,,,,,,,,,,,,,CURRENT INVENTORY,,,,,,,,,,,,,,,,,,
,Name,Sample Size,Bag Value,,,,,,,,,,,,,"after doing the function, copy paste over to the M-O columns :)",,,,,,,,,,,,,,,,,,
,SMALL THORNED BAG,120,226.6,copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,Count,Name,Sell,Buy,Profit,Gross Revenue,Rate,Value,,sample size,Paste results here and note sample size in the L column,,,,Get Inventory Here-->,,,,,,,,,,,,,,,,,,
,19739,42,Wool Scrap,32,30,27.2,1344,0.35,9.5,,120,19739,42,Wool Scrap,,,,,,,,,,,,,,,,,,,,
,24296,9,Tiny Totem,7,4,5.95,63,0.075,0.4,,,24296,9,Tiny Totem,,,,,,,,,,,,,,,,,,,,
,19728,25,Thin Leather Section,15,11,12.75,375,0.2083333333,2.7,,,19728,25,Thin Leather Section,,,,,,,,,,,,,,,,,,,,
,24272,6,Pile of Glittering Dust,85,73,72.25,510,0.05,3.6,,,24272,6,Pile of Glittering Dust,,,,,,,,,,,,,,,,,,,,
,12138,49,Stick of Butter,344,303,292.4,16856,0.4083333333,119.4,,,12138,49,Stick of Butter,,,,,,,,,,,,,,,,,,,,
,12229,18,Chocolate Bar,649,550,551.65,11682,0.15,82.7,,,12229,18,Chocolate Bar,,,,,,,,,,,,,,,,,,,,
,24290,12,Vial of Weak Blood,9,6,7.65,108,0.1,0.8,,,24290,12,Vial of Weak Blood,,,,,,,,,,,,,,,,,,,,
,12327,1,Clam,7,6,5.95,7,0.008333333333,0.0,,,12327,1,Clam,,,,,,,,,,,,,,,,,,,,
,24297,2,Small Totem,43,30,36.55,86,0.01666666667,0.6,,,24297,2,Small Totem,,,,,,,,,,,,,,,,,,,,
,12248,1,Thyme Leaf,149,128,126.65,149,0.008333333333,1.1,,,12248,1,Thyme Leaf,,,,,,,,,,,,,,,,,,,,
,24273,2,Pile of Shimmering Dust,308,230,261.8,616,0.01666666667,4.4,,,24273,2,Pile of Shimmering Dust,,,,,,,,,,,,,,,,,,,,
,24291,4,Vial of Thin Blood,47,22,39.95,188,0.03333333333,1.3,,,24291,4,Vial of Thin Blood,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
