,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Manually adjust conditional format range in M:M to highlight ID after copy pasting,,,,,,,,,,,,,,,,,,,,,,
,MASTER SAMPLE,,,,,,,,,,,,,,,CURRENT INVENTORY,,,,,,,,,,,,,,,,,,
,Name,Sample Size,Bag Value,,,,,,,,,,,,,"after doing the function, copy paste over to the M-O columns :)",,,,,,,,,,,,,,,,,,
,"""BAG NAME""",100,335.4,copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,Count,Name,Sell,Buy,Profit,Gross Revenue,Rate,Value,,sample size,Paste results here and note sample size in the L column,,,,Get Inventory Here-->,,,,,,,,,,,,,,,,,,
,24344,3,Bone,1384,1310,1176.4,4152,0.03,35.3,,100,24344,3,Bone,,,,,,,,,,,,,,,,,,,,
,24292,4,Vial of Blood,376,300,319.6,1504,0.04,12.8,,,24292,4,Vial of Blood,,,,,,,,,,,,,,,,,,,,
,12247,1,Bay Leaf,31,30,26.35,31,0.01,0.3,,,12247,1,Bay Leaf,,,,,,,,,,,,,,,,,,,,
,24298,8,Totem,330,275,280.5,2640,0.08,22.4,,,24298,8,Totem,,,,,,,,,,,,,,,,,,,,
,19743,42,Linen Scrap,37,30,31.45,1554,0.42,13.2,,,19743,42,Linen Scrap,,,,,,,,,,,,,,,,,,,,
,24348,9,Claw,459,419,390.15,4131,0.09,35.1,,,24348,9,Claw,,,,,,,,,,,,,,,,,,,,
,24355,2,Sharp Fang,714,558,606.9,1428,0.02,12.1,,,24355,2,Sharp Fang,,,,,,,,,,,,,,,,,,,,
,24345,2,Heavy Bone,1754,1514,1490.9,3508,0.02,29.8,,,24345,2,Heavy Bone,,,,,,,,,,,,,,,,,,,,
,24286,3,Scale,657,615,558.45,1971,0.03,16.8,,,24286,3,Scale,,,,,,,,,,,,,,,,,,,,
,24354,3,Fang,889,888,755.65,2667,0.03,22.7,,,24354,3,Fang,,,,,,,,,,,,,,,,,,,,
,24274,3,Pile of Radiant Dust,856,808,727.6,2568,0.03,21.8,,,24274,3,Pile of Radiant Dust,,,,,,,,,,,,,,,,,,,,
,12351,6,Orange,118,97,100.3,708,0.06,6.0,,,12351,6,Orange,,,,,,,,,,,,,,,,,,,,
,19731,17,Rugged Leather Section,137,104,116.45,2329,0.17,19.8,,,19731,17,Rugged Leather Section,,,,,,,,,,,,,,,,,,,,
,24280,8,Venom Sac,565,426,480.25,4520,0.08,38.4,,,24280,8,Venom Sac,,,,,,,,,,,,,,,,,,,,
,12258,1,Cinnamon Stick,832,831,707.2,832,0.01,7.1,,,12258,1,Cinnamon Stick,,,,,,,,,,,,,,,,,,,,
,24275,3,Pile of Luminous Dust,896,827,761.6,2688,0.03,22.8,,,24275,3,Pile of Luminous Dust,,,,,,,,,,,,,,,,,,,,
,24281,2,Full Venom Sac,423,328,359.55,846,0.02,7.2,,,24281,2,Full Venom Sac,,,,,,,,,,,,,,,,,,,,
,24293,1,Vial of Thick Blood,420,391,357,420,0.01,3.6,,,24293,1,Vial of Thick Blood,,,,,,,,,,,,,,,,,,,,
,24359,1,Slab of Red Meat,256,254,217.6,256,0.01,2.2,,,24359,1,Slab of Red Meat,,,,,,,,,,,,,,,,,,,,
,24506,1,Topaz Lump,79,46,67.15,79,0.01,0.7,,,24506,1,Topaz Lump,,,,,,,,,,,,,,,,,,,,
,12329,2,Yam,28,12,23.8,56,0.02,0.5,,,12329,2,Yam,,,,,,,,,,,,,,,,,,,,
,12537,1,Blackberry,98,90,83.3,98,0.01,0.8,,,12537,1,Blackberry,,,,,,,,,,,,,,,,,,,,
,24349,1,Sharp Claw,477,367,405.45,477,0.01,4.1,,,24349,1,Sharp Claw,,,,,,,,,,,,,,,,,,,,
