,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Manually adjust conditional format range in M:M to highlight ID after copy pasting,,,,,,,,,,,,,,,,,,,,,,
,MASTER SAMPLE,,,,,,,,,,,,,,,CURRENT INVENTORY,,,,,,,,,,,,,,,,,,
,Name,Sample Size,Bag Value,,,,,,,,,,,,,"after doing the function, copy paste over to the M-O columns :)",,,,,,,,,,,,,,,,,,
,BAG OF STOLEN GOODS,800,204.9,copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,Count,Name,Sell,Buy,Profit,Gross Revenue,Rate,Value,,sample size,Paste results here and note sample size in the L column,,,,Get Inventory Here-->,ID,Count,Name,,,,,,,,,,,,,,,
,24341,41,Large Bone,72,70,61.2,2952,0.05125,3.1,,150,24341,9,Large Bone,,,19700,53,Mithril Ore,,,,,,,,,,,,,,,
,24294,51,Vial of Potent Blood,72,67,61.2,3672,0.06375,3.9,,,24294,6,Vial of Potent Blood,,,19745,3,Gossamer Scrap,,,,,,,,,,,,,,,
,24282,38,Potent Venom Sac,72,71,61.2,2736,0.0475,2.9,,,24282,11,Potent Venom Sac,,,19722,199,Elder Wood Log,,,,,,,,,,,,,,,
,19748,277,Silk Scrap,17,14,14.45,4709,0.34625,5.0,,,19748,60,Silk Scrap,,,19729,49,Thick Leather Section,,,,,,,,,,,,,,,
,24350,52,Large Claw,72,71,61.2,3744,0.065,4.0,,,24350,13,Large Claw,,,19748,128,Silk Scrap,,,,,,,,,,,,,,,
,19732,12,Hardened Leather Section,199,194,169.15,2388,0.015,2.5,,,19732,2,Hardened Leather Section,,,19725,7,Ancient Wood Log,,,,,,,,,,,,,,,
,24276,45,Pile of Incandescent Dust,208,202,176.8,9360,0.05625,9.9,,,24276,11,Pile of Incandescent Dust,,,19701,10,Orichalcum Ore,,,,,,,,,,,,,,,
,24360,17,Slab of Poultry Meat,1042,912,885.7,17714,0.02125,18.8,,,24360,3,Slab of Poultry Meat,,,19732,5,Hardened Leather Section,,,,,,,,,,,,,,,
