,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Manually adjust conditional format range in M:M to highlight ID after copy pasting,,,,,,,,,,,,,,,,,,,,,,
,MASTER SAMPLE,,,,,,,,,,,,,,,CURRENT INVENTORY,,,,,,,,,,,,,,,,,,
,Name,Sample Size,Bag Value,,,,,,,,,,,,,"after doing the function, copy paste over to the M-O columns :)",,,,,,,,,,,,,,,,,,
,THORNED SACK,562,246.3,copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,Count,Name,Sell,Buy,Profit,Gross Revenue,Rate,Value,,sample size,Paste results here and note sample size in the L column,,,,Get Inventory Here-->,ID,Count,Name,,,,,,,,,,,,,,,
,24298,48,Totem,330,275,280.5,15840,0.08540925267,24.0,,72,24298,10,Totem,,,12737,7,Grilled Steak,,,,,,,,,,,,,,,
,19731,221,Rugged Leather Section,137,104,116.45,30277,0.3932384342,45.8,,,19731,23,Rugged Leather Section,,,9452,12,Apprentice Maintenance Oil,,,,,,,,,,,,,,,
,12351,177,Orange,118,97,100.3,20886,0.3149466192,31.6,,,12351,19,Orange,,,36074,14,Bowl of Candy Corn Custard,,,,,,,,,,,,,,,
,19743,309,Linen Scrap,37,30,31.45,11433,0.5498220641,17.3,,,19743,30,Linen Scrap,,,77699,16,Lucky New Year Firework,,,,,,,,,,,,,,,
,24274,55,Pile of Radiant Dust,856,808,727.6,47080,0.09786476868,71.2,,,24274,7,Pile of Radiant Dust,,,24290,25,Vial of Weak Blood,,,,,,,,,,,,,,,
,24292,61,Vial of Blood,376,300,319.6,22936,0.1085409253,34.7,,,24292,12,Vial of Blood,,,20316,1,Black Lion Chest,,,,,,,,,,,,,,,
,24293,15,Vial of Thick Blood,420,391,357,6300,0.02669039146,9.5,,,24293,2,Vial of Thick Blood,,,24505,2,Talisman of Penetration,,,,,,,,,,,,,,,
,24275,9,Pile of Luminous Dust,896,827,761.6,8064,0.01601423488,12.2,,,24275,1,Pile of Luminous Dust,,,19727,3,Seasoned Wood Log,,,,,,,,,,,,,,,
